NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;FEDERAL_STATE;ELECTRICITY;HYBRID
AT1;AT11;AT110;1;0;2004;2023;Burgenland;1,00;
AT1;AT11;AT110;1;0;2005;2023;Burgenland;1,00;
AT1;AT11;AT110;1;0;2006;2023;Burgenland;1,00;11,00
AT1;AT11;AT110;1;0;2007;2023;Burgenland;1,00;37,00
AT1;AT11;AT110;1;0;2008;2023;Burgenland;1,00;82,00
AT1;AT11;AT110;1;0;2009;2023;Burgenland;2,00;112,00
AT1;AT11;AT110;1;0;2010;2023;Burgenland;5,00;138,00
AT1;AT11;AT110;1;0;2011;2023;Burgenland;10,00;153,00
AT1;AT11;AT110;1;0;2012;2023;Burgenland;19,00;195,00
AT1;AT11;AT110;1;0;2013;2023;Burgenland;34,00;259,00
AT1;AT11;AT110;1;0;2014;2023;Burgenland;55,00;326,00
AT1;AT11;AT110;1;0;2015;2023;Burgenland;93,00;396,00
AT1;AT11;AT110;1;0;2016;2023;Burgenland;188,00;500,00
AT1;AT11;AT110;1;0;2017;2023;Burgenland;338,00;732,00
AT1;AT11;AT110;1;0;2018;2023;Burgenland;490,00;959,00
AT1;AT11;AT110;1;0;2019;2023;Burgenland;728,00;1395,00
AT1;AT11;AT110;1;0;2020;2023;Burgenland;1151,00;2327,00
AT1;AT11;AT110;1;0;2021;2023;Burgenland;2172,00;3935,00
AT1;AT11;AT110;1;0;2022;2023;Burgenland;3420,00;5570,00
AT1;AT11;AT110;1;0;2023;2023;Burgenland;4724,00;7408,00
AT2;AT21;AT210;2;0;2004;2023;Kärnten;13,00;
AT2;AT21;AT210;2;0;2005;2023;Kärnten;15,00;
AT2;AT21;AT210;2;0;2006;2023;Kärnten;17,00;23,00
AT2;AT21;AT210;2;0;2007;2023;Kärnten;17,00;61,00
AT2;AT21;AT210;2;0;2008;2023;Kärnten;34,00;116,00
AT2;AT21;AT210;2;0;2009;2023;Kärnten;46,00;158,00
AT2;AT21;AT210;2;0;2010;2023;Kärnten;55,00;216,00
AT2;AT21;AT210;2;0;2011;2023;Kärnten;99,00;261,00
AT2;AT21;AT210;2;0;2012;2023;Kärnten;141,00;358,00
AT2;AT21;AT210;2;0;2013;2023;Kärnten;203,00;478,00
AT2;AT21;AT210;2;0;2014;2023;Kärnten;264,00;611,00
AT2;AT21;AT210;2;0;2015;2023;Kärnten;341,00;755,00
AT2;AT21;AT210;2;0;2016;2023;Kärnten;518,00;963,00
AT2;AT21;AT210;2;0;2017;2023;Kärnten;805,00;1302,00
AT2;AT21;AT210;2;0;2018;2023;Kärnten;1092,00;1708,00
AT2;AT21;AT210;2;0;2019;2023;Kärnten;1492,00;2585,00
AT2;AT21;AT210;2;0;2020;2023;Kärnten;2241,00;4298,00
AT2;AT21;AT210;2;0;2021;2023;Kärnten;3703,00;7579,00
AT2;AT21;AT210;2;0;2022;2023;Kärnten;5388,00;10603,00
AT2;AT21;AT210;2;0;2023;2023;Kärnten;7644,00;14501,00
AT1;AT12;AT120;3;0;2004;2023;Niederösterreich;40,00;
AT1;AT12;AT120;3;0;2005;2023;Niederösterreich;46,00;
AT1;AT12;AT120;3;0;2006;2023;Niederösterreich;49,00;98,00
AT1;AT12;AT120;3;0;2007;2023;Niederösterreich;51,00;263,00
AT1;AT12;AT120;3;0;2008;2023;Niederösterreich;52,00;584,00
AT1;AT12;AT120;3;0;2009;2023;Niederösterreich;65,00;775,00
AT1;AT12;AT120;3;0;2010;2023;Niederösterreich;78,00;1042,00
AT1;AT12;AT120;3;0;2011;2023;Niederösterreich;128,00;1295,00
AT1;AT12;AT120;3;0;2012;2023;Niederösterreich;207,00;1656,00
AT1;AT12;AT120;3;0;2013;2023;Niederösterreich;368,00;2100,00
AT1;AT12;AT120;3;0;2014;2023;Niederösterreich;731,00;2561,00
AT1;AT12;AT120;3;0;2015;2023;Niederösterreich;1157,00;3163,00
AT1;AT12;AT120;3;0;2016;2023;Niederösterreich;2058,00;4032,00
AT1;AT12;AT120;3;0;2017;2023;Niederösterreich;3290,00;5479,00
AT1;AT12;AT120;3;0;2018;2023;Niederösterreich;4750,00;7229,00
AT1;AT12;AT120;3;0;2019;2023;Niederösterreich;6378,00;10292,00
AT1;AT12;AT120;3;0;2020;2023;Niederösterreich;9369,00;16606,00
AT1;AT12;AT120;3;0;2021;2023;Niederösterreich;15377,00;26998,00
AT1;AT12;AT120;3;0;2022;2023;Niederösterreich;21665,00;37056,00
AT1;AT12;AT120;3;0;2023;2023;Niederösterreich;30073,00;48932,00
AT3;AT31;AT30;4;0;2004;2023;Oberösterreich;8,00;
AT3;AT31;AT30;4;0;2005;2023;Oberösterreich;4,00;
AT3;AT31;AT30;4;0;2006;2023;Oberösterreich;6,00;56,00
AT3;AT31;AT30;4;0;2007;2023;Oberösterreich;9,00;158,00
AT3;AT31;AT30;4;0;2008;2023;Oberösterreich;9,00;362,00
AT3;AT31;AT30;4;0;2009;2023;Oberösterreich;11,00;513,00
AT3;AT31;AT30;4;0;2010;2023;Oberösterreich;19,00;708,00
AT3;AT31;AT30;4;0;2011;2023;Oberösterreich;63,00;922,00
AT3;AT31;AT30;4;0;2012;2023;Oberösterreich;126,00;1259,00
AT3;AT31;AT30;4;0;2013;2023;Oberösterreich;254,00;1629,00
AT3;AT31;AT30;4;0;2014;2023;Oberösterreich;471,00;1943,00
AT3;AT31;AT30;4;0;2015;2023;Oberösterreich;799,00;2315,00
AT3;AT31;AT30;4;0;2016;2023;Oberösterreich;1579,00;2967,00
AT3;AT31;AT30;4;0;2017;2023;Oberösterreich;2598,00;3966,00
AT3;AT31;AT30;4;0;2018;2023;Oberösterreich;3733,00;5210,00
AT3;AT31;AT30;4;0;2019;2023;Oberösterreich;5358,00;7523,00
AT3;AT31;AT30;4;0;2020;2023;Oberösterreich;8229,00;12663,00
AT3;AT31;AT30;4;0;2021;2023;Oberösterreich;15141,00;21649,00
AT3;AT31;AT30;4;0;2022;2023;Oberösterreich;21746,00;30551,00
AT3;AT31;AT30;4;0;2023;2023;Oberösterreich;30291,00;40680,00
